soru,ders,konu,zorluk,A,B,C,D,dogrucevap
"Trafik adabı nedir?",Trafik Adabı,Temel Kavramlar,Kolay,"Sadece kurallara uymak","Trafikte diğer bireylere saygılı hoşgörülü ve nazik davranmak","Hızlı sürmek","Korna çalmak",B
"Trafikte öfke ile araç kullanmak neye yol açar?",Trafik Adabı,Öfke Yönetimi,Orta,"Daha güvenli sürüşe","Dikkatin dağılmasına ve kaza riskinin artmasına","Zaman kazanmaya","Yakıt tasarrufuna",B
"Diğer sürücülerin hatalarına karşı en doğru tutum nedir?",Trafik Adabı,Hoşgörü,Orta,"Hemen tepki göstermek","Sabırlı ve hoşgörülü olmak","Korna çalıp bağırmak","Yolunu kesmek",B
"Yaya geçidinde yayaya yol vermek hangi davranıştır?",Trafik Adabı,Saygı,Kolay,"Zaman kaybı","Saygı ve sorumluluk göstergesi","Zorunlu değil","Nazik olmayan",B
"Trafikte empati kurmak ne demektir?",Trafik Adabı,Empati,Orta,"Kendini haklı görmek","Kendini diğer sürücü ve yayaların yerine koyabilmek","Hızlı gitmek","Kural tanımamak",B
"Ambulansa yol vermek hangi değeri yansıtır?",Trafik Adabı,Sorumluluk,Kolay,"Bencilliği","Yardımlaşma ve sorumluluk bilincini","İlgisizliği","Aceleyi",B
"Gereksiz korna çalmak çevrede neye yol açar?",Trafik Adabı,Saygı,Kolay,"Huzura","Gürültü kirliliği ve rahatsızlığa","Güvenliğe","Trafiğin akmasına",B
"Trafik kurallarına uymanın toplumsal faydası nedir?",Trafik Adabı,Sorumluluk,Orta,"Sadece ceza almamak","Can ve mal güvenliğinin korunması","Hızlı gitmek","Gösteriş",B
"Yol verme davranışı en çok neyi gösterir?",Trafik Adabı,Saygı,Kolay,"Zayıflığı","Nezaket ve olgunluğu","Korkaklığı","Acemiliği",B
"Trafikte stresi azaltmak için ne yapılmalıdır?",Trafik Adabı,Öfke Yönetimi,Orta,"Daha hızlı sürmek","Sakin kalmak ve yola erken çıkmak","Sürekli korna çalmak","Diğerlerini suçlamak",B
"Acemi bir sürücüye karşı deneyimli sürücünün tutumu nasıl olmalıdır?",Trafik Adabı,Hoşgörü,Orta,"Sıkıştırmak","Anlayışlı ve sabırlı olmak","Korna çalmak","Yolunu kesmek",B
"Trafikte 'ben haklıyım' ısrarı yerine ne benimsenmelidir?",Trafik Adabı,Empati,Orta,"İnat","Karşılıklı anlayış ve güvenlik önceliği","Rekabet","Hız",B
"Uzun yolculukta yorgunluk hissedildiğinde ne yapılmalıdır?",Trafik Adabı,Sorumluluk,Kolay,"Devam edilir","Mola verilip dinlenilir","Hızlanılır","Kahve içip sürülür",B
"Çevreye duyarlı sürücü hangi davranışı sergiler?",Trafik Adabı,Çevre,Orta,"Gereksiz gaz ve fren","Ekonomik ve düzgün sürüş ile daha az emisyon","Motoru boşta çalıştırma","Sürekli klima",B
"Trafikte sabırlı olmak sürücüye ne kazandırır?",Trafik Adabı,Öfke Yönetimi,Kolay,"Ceza","Daha güvenli ve huzurlu bir sürüş","Zaman kaybı","Yakıt gideri",B
"Diğer sürücüyü teşekkür amacıyla uyarmak için ne yapılabilir?",Trafik Adabı,İletişim,Orta,"Uzun süre korna çalmak","Kısa el veya ışık işareti ile nazik iletişim","Yolunu kesmek","Hızlanmak",B
"Trafikte kural ihlali yapan birini gördüğümüzde en olgun davranış nedir?",Trafik Adabı,Hoşgörü,Orta,"Aynı ihlali yapmak","Kendi güvenliğimizi koruyup örnek davranmak","Kavga etmek","Takip etmek",B
"Trafik adabının en önemli sonucu nedir?",Trafik Adabı,Temel Kavramlar,Orta,"Daha çok ceza","Kazaların azalması ve güvenli trafik ortamı","Daha hızlı ulaşım","Daha çok araç",B
