soru,ders,konu,zorluk,A,B,C,D,dogrucevap
"Motorun görevi nedir?",Motor ve Araç Tekniği,Motor,Kolay,"Yakıtı depolamak","Yakıtın kimyasal enerjisini mekanik enerjiye çevirmek","Aracı soğutmak","Sesi azaltmak",B
"Dört zamanlı motorda zamanların doğru sıralaması hangisidir?",Motor ve Araç Tekniği,Motor,Zor,"Sıkıştırma-Emme-Ateşleme-Egzoz","Emme-Sıkıştırma-Ateşleme (İş)-Egzoz","Egzoz-Emme-İş-Sıkıştırma","Emme-Ateşleme-Egzoz-Sıkıştırma",B
"Motor yağının temel görevi nedir?",Motor ve Araç Tekniği,Yağlama,Kolay,"Yakıt olmak","Hareketli parçaları yağlayıp aşınmayı azaltmak","Motoru ısıtmak","Rengini korumak",B
"Motor yağ seviyesi hangi araçla kontrol edilir?",Motor ve Araç Tekniği,Yağlama,Kolay,"Su göstergesi","Yağ çubuğu (seviye çubuğu)","Kilometre saati","Termometre",B
"Motorun aşırı ısınmasının nedeni ne olabilir?",Motor ve Araç Tekniği,Soğutma,Orta,"Yağ fazlalığı","Soğutma suyunun eksik olması","Lastik havası","Far arızası",B
"Soğutma suyu (antifriz) neyi önler?",Motor ve Araç Tekniği,Soğutma,Orta,"Yağ kaçağını","Suyun donmasını ve aşırı ısınmayı","Fren tutmamasını","Akü boşalmasını",B
"Aracın hareketini sağlayan gücü tekerleklere ileten sistem hangisidir?",Motor ve Araç Tekniği,Aktarma,Orta,"Fren sistemi","Güç aktarma organları (debriyaj-vites-şaft)","Aydınlatma","Direksiyon",B
"Debriyaj (kavrama) ne işe yarar?",Motor ve Araç Tekniği,Aktarma,Orta,"Aracı durdurur","Motor ile şanzıman arasındaki bağlantıyı keser veya birleştirir","Yakıt basar","Akü şarj eder",B
"Vites kutusunun görevi nedir?",Motor ve Araç Tekniği,Aktarma,Orta,"Yağ pompalamak","Hız ve çekiş ihtiyacına göre tork ayarlamak","Su soğutmak","Havayı temizlemek",B
"Fren sisteminin görevi nedir?",Motor ve Araç Tekniği,Fren,Kolay,"Hızlanmak","Aracı yavaşlatmak ve durdurmak","Direksiyonu çevirmek","Yakıt vermek",B
"ABS fren sistemi neyi önler?",Motor ve Araç Tekniği,Fren,Orta,"Yakıt tüketimini","Ani frende tekerleklerin kilitlenmesini","Motorun stop etmesini","Lastik patlamasını",B
"El freni (park freni) genellikle hangi tekerleklere etki eder?",Motor ve Araç Tekniği,Fren,Orta,"Ön tekerlere","Arka tekerlere","Sadece sağ tekere","Yedek lastiğe",B
"Fren hidroliğinin azalması neye yol açar?",Motor ve Araç Tekniği,Fren,Zor,"Motorun ısınmasına","Frenlerin tutmamasına","Farların sönmesine","Kornanın çalmamasına",B
"Aracın yön değiştirmesini sağlayan sistem hangisidir?",Motor ve Araç Tekniği,Direksiyon,Kolay,"Fren","Direksiyon sistemi","Egzoz","Marş",B
"Rot balans ayarının bozuk olması neye neden olur?",Motor ve Araç Tekniği,Direksiyon,Orta,"Motorun ısınmasına","Lastiklerin düzensiz aşınmasına ve titreşime","Akünün bitmesine","Farların yanmamasına",B
"Akünün görevi nedir?",Motor ve Araç Tekniği,Elektrik,Orta,"Yakıt depolamak","Elektrik enerjisi depolayıp marş ve elektrik sistemine vermek","Su soğutmak","Yağlama yapmak",B
"Şarj (alternatör) arızasında hangi belirti görülür?",Motor ve Araç Tekniği,Elektrik,Orta,"Motor susuz kalır","Akü şarj olmaz ve gösterge ikaz verir","Lastik patlar","Fren tutmaz",B
